Millis,Data,Torque(Nm),Thrust(Kg),AC1(A),AC2(A),AC3(A),DC_Total(A),Voltage(V),Electrical power(W),RPM,Throttle(%), Motor State
10493,2026-03-12 14:16:51,"0,004",0,0,0,0,0,"16,64",0,0,0,STOP
11561,2026-03-12 14:16:52,"0,003","0,001",0,0,0,0,"16,64",0,0,0,STOP
12626,2026-03-12 14:16:53,"0,003","0,004",0,0,0,0,"16,64",0,"16,1",0,STOP
13596,2026-03-12 14:16:54,"0,006","0,001",0,0,0,0,"16,64",0,0,0,STOP
14567,2026-03-12 14:16:55,"0,005","0,001",0,0,0,0,"16,64",0,0,0,STOP
15633,2026-03-12 14:16:56,"0,003",0,0,0,0,0,"16,64",0,0,0,STOP
16602,2026-03-12 14:16:57,"0,003","0,001",0,0,0,0,"16,64",0,0,0,STOP
17573,2026-03-12 14:16:58,"0,004","0,001",0,0,0,0,"16,64",0,0,0,STOP
18542,2026-03-12 14:16:59,"0,002",0,0,0,0,"0,3","16,64","5,04",0,0,STOP
19609,2026-03-12 14:17:00,"0,004",0,0,0,0,"0,7","16,64","11,57",0,0,STOP
20578,2026-03-12 14:17:01,"0,004","-0,001","0,3",0,0,"1,35","16,64","22,52",0,0,STOP
21548,2026-03-12 14:17:02,"0,005",0,0,0,0,"1,3","16,64","21,64",0,0,STOP
22614,2026-03-12 14:17:03,"0,003",0,0,0,0,0,"16,64",0,0,0,CALC_DEG
23584,2026-03-12 14:17:04,"0,003","0,002",0,0,0,0,"16,64",0,0,0,RAMPA
24553,2026-03-12 14:17:05,"0,005","0,001",0,0,0,0,"16,64",0,0,1,RAMPA
25523,2026-03-12 14:17:06,"0,006","0,001",0,0,0,"0,84","16,64","13,94",0,2,RAMPA
26589,2026-03-12 14:17:07,"0,004","0,002",0,0,0,"1,41","16,64","23,48",0,3,RAMPA
27559,2026-03-12 14:17:08,"0,004","0,001",0,0,0,"0,78","16,64","12,96",0,4,RAMPA
28530,2026-03-12 14:17:09,"0,006","0,001","0,63","0,61","0,57","0,5","16,63","8,4","35,3",5,RAMPA
29595,2026-03-12 14:17:10,"0,004","0,026","0,76","0,82","0,71","0,63","16,63","10,46","213,1",6,RAMPA
30566,2026-03-12 14:17:11,"0,003","0,142","1,38","1,51","1,25","0,81","16,63","13,44","587,6",7,RAMPA
31534,2026-03-12 14:17:12,"0,005","0,199","1,48","1,65","1,42","0,95","16,63","15,79","738,6",8,RAMPA
32505,2026-03-12 14:17:13,"0,002","0,246","1,98","2,2","1,73","1,22","16,62","20,24","843,9",9,RAMPA
33570,2026-03-12 14:17:14,"0,019","0,332","2,07","2,21","1,94","1,45","16,62","24,14","948,8",10,RAMPA
34542,2026-03-12 14:17:15,"0,011","0,337","2,15","2,25","1,89","1,21","16,62","20,17","993,1",10,PATAMAR_5S
35512,2026-03-12 14:17:16,"0,017","0,339","2,16","2,27","1,94","1,43","16,62","23,77","985,3",10,PATAMAR_5S
36481,2026-03-12 14:17:17,"0,015","0,339","2,17","2,27","1,9","1,31","16,61","21,72","967,6",10,PATAMAR_5S
37549,2026-03-12 14:17:18,"0,017","0,337","2,15","2,28","1,9","1,14","16,62","18,89","984,1",10,CALC_DEG
38519,2026-03-12 14:17:19,"0,018","0,342","2,19","2,29","1,91","0,99","16,61","16,44","958,8",10,RAMPA
39489,2026-03-12 14:17:20,"0,013","0,376","2,38","2,52","2,12","0,75","16,61","12,48","1033,9",11,RAMPA
40459,2026-03-12 14:17:21,"0,024","0,43","2,6","2,72","2,35","0,91","16,61","15,04","1082,5",12,RAMPA
41526,2026-03-12 14:17:22,"0,037","0,492","2,89","3,07","2,62","0,82","16,61","13,56","1168,8",13,RAMPA
42496,2026-03-12 14:17:23,"0,039","0,543","3,03","3,21","2,79","0,81","16,6","13,39","1218,2",14,RAMPA
43467,2026-03-12 14:17:24,"0,041","0,593","3,24","3,37","3,13","0,87","16,6","14,44","1281,3",15,RAMPA
44436,2026-03-12 14:17:25,"0,03","0,636","3,35","3,67","3,36","1,01","16,6","16,8","1325,5",16,RAMPA
45504,2026-03-12 14:17:26,"0,037","0,699","3,83","3,96","3,42","1,08","16,59","17,92","1377,7",17,RAMPA
46473,2026-03-12 14:17:27,"0,047","0,785","4,2","4,34","3,8","1,4","16,59","23,29",1511,18,RAMPA
47444,2026-03-12 14:17:28,"0,051","0,833","4,38","4,55","3,96","0,96","16,58",16,"1528,7",19,RAMPA
48414,2026-03-12 14:17:29,"0,06","0,937","4,69","4,95","4,22","1,36","16,57","22,54","1546,4",20,RAMPA
49481,2026-03-12 14:17:30,"0,142","0,917","4,65","4,91","4,25","1,34","16,57","22,25","1558,4",20,PATAMAR_5S
50548,2026-03-12 14:17:31,"0,131","0,919","4,67","4,91","4,22","1,32","16,57","21,9","1614,7",20,PATAMAR_5S
51614,2026-03-12 14:17:32,"0,119","0,916","4,62","4,89","4,19","1,37","16,56","22,7","1574,5",20,CALC_DEG
52681,2026-03-12 14:17:33,"0,125","0,917","4,63","4,9","4,17","1,36","16,57","22,6","1606,6",20,RAMPA
53750,2026-03-12 14:17:34,"0,127","0,982","4,96","5,26","4,43","1,57","16,57","25,98","1609,1",21,RAMPA
54817,2026-03-12 14:17:35,"0,108","1,065","5,28","5,59","4,65","1,76","16,56","29,21","1678,9",22,RAMPA
55883,2026-03-12 14:17:36,"0,122","1,112","5,53","5,93","4,9","1,89","16,54","31,22","1755,3",23,RAMPA
57147,2026-03-12 14:17:37,"0,12","1,148","5,77","6,02","4,83","1,88","16,54","31,1","1797,9",24,RAMPA
58214,2026-03-12 14:17:39,"0,105","1,209","5,89","6,26","5,27","2,11","16,52","34,84","1735,2",25,RAMPA
59281,2026-03-12 14:17:40,"0,116","1,323","6,28","6,78","5,79","2,58","16,52","42,66","1907,9",26,RAMPA
60348,2026-03-12 14:17:41,"0,155","1,359","6,42","6,98",6,"2,79","16,52","46,12",1924,27,RAMPA
