Millis,Data,Torque(Nm),Thrust(Kg),AC1(A),AC2(A),AC3(A),DC_Total(A),Voltage(V),Electrical power(W),RPM,Throttle(%), Motor State
10377,2026-03-12 14:36:12,"0,004","0,001",0,0,0,0,"15,82",0,"2,9",0,STOP
11443,2026-03-12 14:36:13,"0,003","0,001",0,0,0,0,"15,82",0,0,0,STOP
12510,2026-03-12 14:36:14,"0,005","0,001",0,0,0,0,"15,82",0,0,0,STOP
13576,2026-03-12 14:36:15,"0,003","0,001",0,0,0,0,"15,82",0,0,0,STOP
14642,2026-03-12 14:36:17,"0,003",0,0,0,0,0,"15,82",0,0,0,STOP
15709,2026-03-12 14:36:18,"0,006","0,011",0,"0,5",0,0,"15,82",0,"32,1",0,STOP
16775,2026-03-12 14:36:19,"0,013",0,0,0,"0,66",0,"15,82",0,0,0,STOP
17842,2026-03-12 14:36:20,"0,006","0,001",0,0,0,0,"15,82",0,0,0,STOP
18812,2026-03-12 14:36:21,"0,005","0,002",0,0,"2,37",0,"15,82",0,0,0,CALC_DEG
19782,2026-03-12 14:36:22,"0,007","0,002",0,0,0,0,"15,82",0,0,0,RAMPA
20752,2026-03-12 14:36:23,"0,007",0,0,0,0,0,"15,82",0,0,1,RAMPA
21722,2026-03-12 14:36:24,"0,007",0,0,0,0,0,"15,82",0,0,2,RAMPA
22789,2026-03-12 14:36:25,"0,006",0,0,0,0,0,"15,82",0,0,3,RAMPA
23759,2026-03-12 14:36:26,"0,007","0,001",0,"0,31",0,0,"15,82",0,0,4,RAMPA
24728,2026-03-12 14:36:27,"0,007",0,0,0,0,0,"15,82",0,0,5,RAMPA
25698,2026-03-12 14:36:28,"0,01","0,019","0,55","0,68","0,57","0,35","15,82","5,5","150,2",6,RAMPA
26764,2026-03-12 14:36:29,"0,001","0,098","1,22","1,52","1,32","0,53","15,82","8,33","490,5",7,RAMPA
27734,2026-03-12 14:36:30,"0,008","0,189","1,3","1,65","1,43","0,58","15,81","9,18","764,4",8,RAMPA
28704,2026-03-12 14:36:31,"0,017","0,112","0,94","1,11","1,04","0,44","15,82","6,92","547,9",9,RAMPA
29673,2026-03-12 14:36:32,"0,002","0,282","1,77","2,12","1,86","0,72","15,81","11,39","822,6",10,RAMPA
30740,2026-03-12 14:36:33,"0,032","0,292","1,8","2,16","1,9","0,52","15,8","8,23","903,7",10,PATAMAR_5S
31709,2026-03-12 14:36:34,"0,026","0,304","1,76","2,15","1,86","0,35","15,81","5,55","937,6",10,PATAMAR_5S
32679,2026-03-12 14:36:35,"0,039","0,296","1,83","2,27","1,97","0,43","15,81","6,75","896,9",10,CALC_DEG
33745,2026-03-12 14:36:36,"0,079","0,303","1,78","2,16","1,79",0,"15,8",0,"888,5",10,RAMPA
34715,2026-03-12 14:36:37,"0,111","0,362","2,01","2,43","2,2","0,33","15,8","5,25","985,3",11,RAMPA
35685,2026-03-12 14:36:38,"0,092","0,412","2,19","2,66","2,39","0,36","15,8","5,68","1082,5",12,RAMPA
36654,2026-03-12 14:36:39,"0,076","0,455","2,42","2,88","2,66","0,64","15,8","10,06","1101,3",13,RAMPA
37721,2026-03-12 14:36:40,"0,068","0,491","2,5","3,03","2,84","0,69","15,8","10,91","1180,9",14,RAMPA
38690,2026-03-12 14:36:41,"0,076","0,557","2,69","3,4","3,35","0,94","15,78","14,9","1225,1",15,RAMPA
39660,2026-03-12 14:36:42,"0,106","0,599","2,91","3,43","3,39","0,96","15,79","15,21","1329,9",16,RAMPA
40629,2026-03-12 14:36:43,"0,121","0,651","3,21","3,79","3,53","1,04","15,79","16,43","1326,8",17,RAMPA
41696,2026-03-12 14:36:44,"0,116","0,687","3,42","3,99","3,79","1,27","15,78",20,"1417,9",18,RAMPA
42666,2026-03-12 14:36:45,"0,129","0,779","3,69","4,39","4,16","1,43","15,76","22,59","1418,3",19,RAMPA
43635,2026-03-12 14:36:46,"0,162","0,852",4,"4,66","4,46","1,71","15,77","26,97","1503,8",20,RAMPA
44702,2026-03-12 14:36:47,"0,188","0,864","4,01","4,69","4,44","1,66","15,76","26,19","1534,3",20,PATAMAR_5S
45671,2026-03-12 14:36:48,"0,203","0,898","3,97","4,67","4,4","1,72","15,76","27,12","1521,5",20,PATAMAR_5S
46641,2026-03-12 14:36:49,"0,214","0,865","4,03","4,67","4,44","1,27","15,77","20,02","1608,2",20,CALC_DEG
47611,2026-03-12 14:36:49,"0,189","0,872","3,95","4,63","4,47","1,45","15,76","22,88","1559,6",20,RAMPA
48677,2026-03-12 14:36:51,"0,204","0,949","4,27","5,04","4,77","2,09","15,75","32,96","1567,9",21,RAMPA
49647,2026-03-12 14:36:52,"0,226","0,971","4,42","5,25","4,92","2,25","15,74","35,38","1630,3",22,RAMPA
50616,2026-03-12 14:36:53,"0,252","1,046","4,84","5,67","5,35","2,59","15,74","40,74","1676,2",23,RAMPA
51586,2026-03-12 14:36:53,"0,248","1,103","4,83","5,89","5,52","2,74","15,73","43,09","1762,9",24,RAMPA
52652,2026-03-12 14:36:55,"0,214","1,161","5,12","6,07","5,7","2,9","15,72","45,58","1841,3",25,RAMPA
53622,2026-03-12 14:36:56,"0,237","1,205","5,34","6,27","5,93","3,08","15,73","48,47","1793,8",26,RAMPA
54592,2026-03-12 14:36:56,"0,237","1,292","5,74","6,77","6,33","3,37","15,72","52,9","1833,6",27,RAMPA
55561,2026-03-12 14:36:57,"0,275","1,362","5,93","7,02","6,62","3,85","15,7","60,4",1893,28,RAMPA
57018,2026-03-12 14:36:59,"0,283","1,445","6,26","7,44","6,97","4,49","15,7","70,47","1970,5",29,RAMPA
58084,2026-03-12 14:37:00,"0,295","1,484","6,39","7,52","7,05","4,09","15,69","64,14","1998,1",30,RAMPA
59151,2026-03-12 14:37:01,"0,298","1,495","6,4","7,5","7,04","4,04","15,68","63,31","1996,3",30,PATAMAR_5S
60217,2026-03-12 14:37:02,"0,317","1,493","6,36","7,56","7,11","4,07","15,67","63,77",1970,30,PATAMAR_5S
61284,2026-03-12 14:37:03,"0,372","1,496","6,34","7,46","7,11","4,09","15,68","64,19","1996,3",30,CALC_DEG
62350,2026-03-12 14:37:04,"0,351","1,49","6,35","7,56","6,99","4,06","15,67","63,64",1982,30,RAMPA
63417,2026-03-12 14:37:05,"0,354","1,58","6,81","8,04","7,63","4,53","15,67","71,03","2036,4",31,RAMPA
64483,2026-03-12 14:37:06,"0,316","1,63","7,03","8,19","7,49","4,62","15,65","72,33","2066,5",32,RAMPA
65550,2026-03-12 14:37:07,"0,345","1,701","7,32","8,48","7,56","4,77","15,65","74,7","2116,7",33,RAMPA
66520,2026-03-12 14:37:08,"0,361","1,742","7,53","8,71","7,82","5,09","15,64","79,65","2103,1",34,RAMPA
67586,2026-03-12 14:37:09,"0,358","1,816","7,74","9,03","8,12","5,45","15,63","85,11","2211,2",35,RAMPA
68556,2026-03-12 14:37:10,"0,388","1,879","8,01","9,33","8,52","5,71","15,62","89,12","2195,9",36,RAMPA
69525,2026-03-12 14:37:11,"0,388","1,947","8,26","9,58","8,76","5,92","15,61","92,46","2308,7",37,RAMPA
70495,2026-03-12 14:37:12,"0,356","2,011","8,43","9,81","9,1","6,17","15,58","96,17","2253,3",38,RAMPA
71561,2026-03-12 14:37:13,"0,39","2,094","8,8","10,4","9,55","6,72","15,58","104,72",2368,39,RAMPA
72531,2026-03-12 14:37:14,"0,409","2,171","9,12","10,61","9,67","6,8","15,57","105,85","2328,4",40,RAMPA
73500,2026-03-12 14:37:15,"0,458","2,175",9,"10,51","9,79","6,87","15,57","106,9","2388,3",40,PATAMAR_5S
74567,2026-03-12 14:37:16,"0,404","2,176","8,96","10,49","9,78","6,85","15,56","106,56","2373,8",40,PATAMAR_5S
75537,2026-03-12 14:37:17,"0,446","2,176","9,05","10,54","9,76","6,73","15,56","104,67","2394,7",40,CALC_DEG
76506,2026-03-12 14:37:18,"0,437","2,172","9,03","10,55","9,77","6,65","15,56","103,51","2375,1",40,RAMPA
77476,2026-03-12 14:37:19,"0,439","2,217","9,23","10,9","10,02","6,89","15,53","107,01","2368,2",41,RAMPA
78542,2026-03-12 14:37:20,"0,456","2,255","9,44","11,19","10,28","6,74","15,53","104,73","2408,2",42,RAMPA
79512,2026-03-12 14:37:21,"0,428","2,335","9,73","11,27","10,4","5,92","15,52","91,88","2465,4",43,RAMPA
80481,2026-03-12 14:37:22,"0,507","2,427","10,05","11,77","10,83","6,68","15,48","103,43","2476,8",44,RAMPA
81451,2026-03-12 14:37:23,"0,468","2,478","10,22","11,96","11,02","7,06","15,48","109,21","2518,4",45,RAMPA
82517,2026-03-12 14:37:24,"0,506","2,527","10,38","12,04","11,19","7,4","15,48","114,6","2520,8",46,RAMPA
83487,2026-03-12 14:37:25,"0,481","2,623","10,72","12,44","11,32","7,7","15,47","119,14","2531,7",47,RAMPA
84457,2026-03-12 14:37:26,"0,491","2,713","11,16","12,93","11,63","8,47","15,44","130,74","2611,2",48,RAMPA
85427,2026-03-12 14:37:27,"0,524","2,77","11,25","13,03","11,81","8,72","15,44","134,55","2637,7",49,RAMPA
86494,2026-03-12 14:37:28,"0,522","2,82","11,5","13,24","11,87","8,96","15,42","138,12",2655,50,RAMPA
87464,2026-03-12 14:37:29,"0,582","2,822","11,49","13,21","11,77","9,01","15,42","138,85","2690,7",50,PATAMAR_5S
